FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,MALLAS,VERIFICACIÓN FISICA CAFÉ TOSTADO,NOTAS DE CATACIÓN,PUNTAJE,LIBERACIÓN DE LOTE,RESPONSABLE,VARIEDAD_ESTANDAR,PROCESO,ORIGEN,TIEMPO_TUESTE_MEDIAN,BENEFICIO
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
Parámetros:,,,,,,,,,,,Otros,,NAN,492.0,
% H≤11.5,,,,,,,,,,,Otros,,NAN,492.0,
Granulometria Café UGQ: Tolerancia del 5% por debajo de las mallas 14,,,,,,,,,,,Otros,,NAN,492.0,
Verificación Fisica de Café Tostado: Máximo 5 granos quaker por muestra ,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,%,#,C/NC,,N°,SI/NO,,Otros,,NAN,492.0,
30-08-22,01-300822,Madre Laura,32.0,"10,5",14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si ,AC,Otros,,NAN,492.0,
13-10-22,01-131022,Madre Laura,79.8,10.4,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si ,AC,Otros,,NAN,492.0,
18-10-22,01-181022,Madre Laura,38.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
18-10-22,05-181022,Doña Dolly,43.0,10,14,C,"Chocolate dulce,fresas,miel,cuerpo cremoso,acidez jugosa citrica y final frutal.",85,SI,AC,Dos mil,Tradicional,JERICO,495.0,Lavado 
29-10-22,01-291022,Madre Laura,272.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2022-03-11 00:00:00,08-031122,Gesha Villabernarda,19.3,10.4,14,C,"Jazmin,limonciollo, acidez jugosa, cuerpo sedoso, fnal dulce y prolongado",86,SI,AC,Gesha,Honey ,JERICO,489.0,Honey 
2022-10-11 00:00:00,01-101122,Madre Laura,255.5,10.2,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
18-11-22,01-181122,Madre Laura,13.2,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
18-11-22,06-181122,Don Victor,13.0,10.8,14,C,"Frutas amarillas, cuerpo cremoso, acidez brillante, miel y final dulce ",85,SI,AC,Dos mil,Tradicional,JERICO,495.0,Lavado 
21-11-22,01-211122,Madre Laura,37.8,10.4,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
28-11-22,01-281122,Madre Laura,158.0,10.8,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
16-12-2,01-161222,Madre Laura,170.0,10.7,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
26-12-22,01-261222,Madre Laura,70.0,"10,8",14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
29-12-22,01-291222,Madre Laura,225.0,11.3,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2023-11-01 00:00:00,08-110123,Gesha Villabernarda,34.0,10.8,14,C,,,,,Gesha,Honey ,JERICO,489.0,Honey 
